config,Chubby_f1,Chubby_ap,Double_Chin_f1,Double_Chin_ap,Bags_Under_Eyes_f1,Bags_Under_Eyes_ap,macro_f1,macro_ap
All features (baseline),0.6002059025394647,0.6233695853648833,0.650220721890418,0.7274998572429154,0.6937439491033147,0.6058223080928524,0.6480568578443991,0.6522305835668837
No Chubby feats (f0-f3),0.5908244455730489,0.6074287939966818,0.6264071294559099,0.702777419553181,0.6915136567096009,0.6079557156388247,0.6362484105795199,0.6393873097295625
No DChin feats (f4-f8),0.530234471410942,0.6235664922304486,0.6187643020594966,0.7225268155926148,0.6929018021331372,0.6072448747580736,0.6139668585345253,0.6511127275270456
No Bags feats (f9-f12),0.6051508927160689,0.6111493866266302,0.6375223347230494,0.7127408705464221,0.6952292728114868,0.6103213156439188,0.6459675000835351,0.6447371909389904
No global feats (f13-f17),0.30819851933095693,0.6263429716037894,0.5473081738508317,0.74257601517087,0.6806032422095701,0.600509117338397,0.5120366451304529,0.6564760347043521
No landmarks (image only),0.5395237142285372,0.6151792295834763,0.6291079812206573,0.7098761887908055,0.6913995095813278,0.6049219136030957,0.6200104016768407,0.6433257773257924
